viewDate,areaMunKm,areaUcKm,uc,uf,municipio
13/11/2021,0.22,0,,TO,São Bento do Tocantins
28/11/2021,0.51,0,,TO,Ponte Alta do Tocantins
28/11/2021,2.94,0,,TO,Ponte Alta do Tocantins
13/11/2021,0.07,0,,TO,São Bento do Tocantins
18/07/2021,1.19,0,,TO,Dueré
13/11/2021,0.29,0,,TO,São Bento do Tocantins
05/04/2021,0.9,0,,TO,Paranã
02/09/2021,0.18,0,,TO,Rio Sono
15/12/2021,0.63,0,,TO,Lizarda
13/04/2021,0.21,0,,TO,Pium
24/10/2021,0.41,0,,TO,Couto Magalhães
02/09/2021,0.15,0,,TO,Pugmil
13/04/2021,0.1,0,,TO,Pium
24/10/2021,0.25,0,,TO,Couto Magalhães
07/05/2021,0.4,0,,TO,Itacajá
07/06/2021,0.2,0,,TO,Couto Magalhães
18/10/2021,0.28,0,,TO,Formoso do Araguaia
13/11/2021,0.81,0,,TO,Araguacema
15/12/2021,0.28,0,,TO,Dois Irmãos do Tocantins
30/08/2021,4.23,0,,TO,Santa Rita do Tocantins
02/09/2021,0.19,0,,TO,Rio Sono
30/08/2021,0.81,0,,TO,Lagoa do Tocantins
04/06/2021,0.3,0,,TO,Pium
30/08/2021,0.5,0,,TO,Aguiarnópolis
30/08/2021,0.08,0,,TO,Araguaçu
30/08/2021,0.15,0,,TO,Araguaçu
30/08/2021,0.24,0,,TO,São Valério
30/08/2021,5.88,0,,TO,Dueré
04/06/2021,0.16,0,,TO,Araguacema
07/06/2021,0.15,0,,TO,Divinópolis do Tocantins
30/08/2021,0.11,0,,TO,Santa Rita do Tocantins
30/08/2021,0,0,,TO,Dueré
30/08/2021,0.19,0,,TO,Lagoa da Confusão
30/08/2021,0.09,0,,TO,Juarina
30/08/2021,0.21,0,,TO,Goianorte
21/05/2021,0.07,0,,TO,Porto Nacional
30/08/2021,0.17,0,,TO,Goianorte
30/08/2021,0.29,0,,TO,Couto Magalhães
30/08/2021,0.15,0,,TO,Darcinópolis
30/08/2021,0.58,0,,TO,Darcinópolis
30/08/2021,0.47,0,,TO,Natividade
30/08/2021,0.39,0,,TO,Lizarda
30/08/2021,0.96,0,,TO,Goiatins
30/08/2021,0.32,0,,TO,Monte do Carmo
30/08/2021,0.43,0,,TO,Araguatins
12/07/2021,0.25,0,,TO,Taipas do Tocantins
13/11/2021,0.34,0,,TO,Paraíso do Tocantins
04/06/2021,0.07,0,,TO,Araguacema
19/06/2021,0.05,0,,TO,Campos Lindos
27/08/2021,0.61,0,,TO,Goiatins
12/07/2021,0.14,0,,TO,Taipas do Tocantins
27/05/2021,0.32,0,,TO,Ananás
28/08/2021,0.13,0,,TO,Taipas do Tocantins
27/08/2021,0.22,0,,TO,Monte do Carmo
27/08/2021,0.33,0,,TO,Monte do Carmo
27/05/2021,0.4,0,,TO,Araguaína
28/08/2021,0.34,0,,TO,Taipas do Tocantins
27/08/2021,0.3,0,,TO,Pium
21/05/2021,0.27,0,,TO,Taguatinga
07/05/2021,0.14,0,,TO,Itacajá
27/08/2021,0.33,0,,TO,Jaú do Tocantins
27/08/2021,0.16,0,,TO,Araguaína
27/05/2021,0.23,0,,TO,Goiatins
27/05/2021,1.05,0,,TO,Tupiratins
27/05/2021,0.51,0,,TO,Tupiratins
30/05/2021,0.29,0,,TO,Arraias
09/07/2021,0.42,0,,TO,Palmeirante
02/11/2021,1.74,0,,TO,Rio Sono
27/05/2021,0.31,0,,TO,Goiatins
19/11/2021,0.1,0,,TO,Filadélfia
24/10/2021,0.17,0,,TO,Goiatins
02/11/2021,0.12,0,,TO,Rio Sono
04/10/2021,1.04,0,,TO,Goiatins
02/11/2021,0.63,0,,TO,Lizarda
02/11/2021,0.2,0,,TO,Rio Sono
02/11/2021,0.85,0,,TO,Rio Sono
02/11/2021,0.12,0,,TO,Lizarda
30/05/2021,0.12,0,,TO,Arraias
04/10/2021,0.55,0,,TO,Goiatins
30/05/2021,0.25,0,,TO,Arraias
18/05/2021,0.53,0,,TO,Monte Santo do Tocantins
07/05/2021,0.32,0,,TO,Sandolândia
10/05/2021,0.1,0,,TO,Tupiratins
27/05/2021,0.18,0,,TO,Palmeirante
07/05/2021,0.52,0,,TO,Araguaçu
27/05/2021,0.45,0,,TO,Palmeirante
04/10/2021,0.36,0,,TO,Goiatins
30/05/2021,0.39,0,,TO,Arraias
27/05/2021,0.1,0,,TO,Palmeirante
27/05/2021,0.47,0,,TO,Palmeirante
25/08/2021,0.26,0,,TO,Ponte Alta do Bom Jesus
27/05/2021,0.28,0,,TO,Couto Magalhães
30/05/2021,0.31,0,,TO,Wanderlândia
27/05/2021,0.31,0,,TO,Couto Magalhães
18/07/2021,0.25,0,,TO,Darcinópolis
30/05/2021,0.06,0,,TO,Wanderlândia
